orden,variable,descripcion,tipo_logico,tipo_parquet,unidad,origen,derivacion,permite_nulo
29,precipitacion_media_diaria_mm,Precipitacion media diaria del mes.,decimal,float64,mm/dia,CHIRPS Clean,valor original,NO
30,precipitacion_maxima_diaria_mm,Precipitacion diaria maxima del mes.,decimal,float64,mm,CHIRPS Clean,valor original,NO
31,dias_humedos_ge1mm,Dias del mes con precipitacion mayor o igual a 1 mm.,decimal,float64,dias,CHIRPS Clean,valor original,NO
32,dias_secos_lt1mm,Dias del mes con precipitacion menor a 1 mm.,decimal,float64,dias,CHIRPS Clean,valor original,NO
33,dias_validos_pixel,Dias CHIRPS validos para la celda.,decimal,float64,dias,CHIRPS Clean,valor original,NO
34,disponibilidad_pixel_pct,Disponibilidad temporal CHIRPS.,decimal,float64,porcentaje,CHIRPS Clean,valor original,NO
35,fraccion_dias_humedos,Proporcion de dias validos clasificados como humedos.,decimal,float64,0-1,derivado Clean,dias_humedos_ge1mm / dias_validos_pixel,NO
36,observacion_viirs_disponible,Indica si VIIRS tiene soporte observacional para la celda-mes.,booleano,bool,verdadero/falso,derivado Clean,soporte_observado_frac no nulo,NO
37,observado_mes_chirps,Indica si CHIRPS observo el mes.,booleano,boolean,verdadero/falso,CHIRPS Clean,indicador 0/1 tipado,NO
38,cobertura_chirps_valida,Indica cobertura CHIRPS valida dentro de la tolerancia.,booleano,bool,verdadero/falso,derivado Clean,abs(cobertura_valida_fuente - 1) <= tolerancia,NO
39,apto_analisis,Indica si la fila tiene observacion valida en ambas fuentes.,booleano,boolean,verdadero/falso,derivado Curated,VIIRS disponible y CHIRPS observado con cobertura valida,NO
40,motivo_no_apto_analisis,Explica por que una fila no es apta para analisis conjunto.,texto,str,categoria,derivado Curated,evaluacion de banderas de cobertura,NO
41,atipico_frp_suma,Bandera IQR de la suma FRP.,booleano,boolean,verdadero/falso,derivado Clean,fuera de limites IQR documentados,SI
42,atipico_frp_maxima,Bandera IQR de FRP maxima.,booleano,boolean,verdadero/falso,derivado Clean,fuera de limites IQR documentados,SI
43,atipico_precipitacion_acumulada,Bandera IQR de precipitacion acumulada.,booleano,boolean,verdadero/falso,derivado Clean,fuera de limites IQR documentados,NO
44,atipico_precipitacion_maxima_diaria,Bandera IQR de precipitacion maxima diaria.,booleano,boolean,verdadero/falso,derivado Clean,fuera de limites IQR documentados,NO
45,alguna_bandera_atipico,Indica si alguna metrica integrada tiene bandera IQR.,booleano,boolean,verdadero/falso,derivado Curated,OR de cuatro banderas IQR,NO
